,norm,formal,subjektif,posneg
0,iya yg lansia dulu tp kupikir udh selesai kmrn ada ko temen aku yg udh vaksin duluan aku belum baru mau didaftarin,iya yang lansia dulu tapi pikir sudah selesai kemarin ada kok teman aku yang sudah vaksin duluan aku belum baru mau didaftarin,0.0,0.0
1,kaum anti vaksin sepetinya gak bakalan cocok tinggal di negara seperti ini,kaum anti vaksin sepet enggak bakal cocok tinggal di negara seperti ini,1.0,0.0
2,boleh aku abis vaksin mam eskrim kok,boleh aku habis vaksin mam eskrim kok,0.0,1.0
6,nyari info vaksin aja kudu ada link orang dalam dulu baru ada keterbukaan indonesia,cari info vaksin saja kudu ada link orang dalam dulu baru ada buka indonesia,1.0,-1.0
7,keren mantap dr juanli suntikan vaksin sehari cara yg dilakukan sgt ergonomis,keren mantap dari juanli sunti vaksin hari cara yang laku sangat ergonomis,0.0,1.0
9,beruntung terakhir ini banyak yg cepat pulih kembali karena sdh divaksin yg ga percaya covid ama vaksinmendingan buang ke mars,untung akhir ini banyak yang cepat pulih kembali karena sudah vaksin yang enggak percaya covid sama vaksinmendingan buang ke mars,1.0,1.0
10,berada disekitar org yg percaya covid itu nyata taat prokes dan mau vaksin ituu alhamdulillah bangeeeetttt aplg nggk percaya hoax digrup wa yg beredar sangat patut disyukuri,ada sekitar orang yang percaya covid itu nyata taat prokes dan mau vaksin itu alhamdulillah bangeeeetttt aplg enggak percaya hoax grup wa yang edar sangat patut syukur,1.0,1.0
11,wow sama mamah aku pst bawa politak politik terus setiap lagi bahas vaksin,wow sama mamah aku pasti bawa politak politik terus tiap lagi bahas vaksin,0.0,0.0
12,aku vaksin pertama tangan pegel hari pas vaksin kedua ga kenapakenapa aku ga tau sih temen sender knp bisa gitu sebelum vaksin ada baiknya baca ketentuan dan peraturannya sih klo perlu sekalian check up siapa tau kita ada penyakit tertentu dan seharusnya ga boleh vaksin,aku vaksin pertama tangan gel hari pas vaksin dua enggak kenapakenapa aku enggak tau sih teman sender kenapa bisa begitu belum vaksin ada baik baca tentu dan atur sih kalo perlu sekali check up siapa tau kita ada sakit tentu dan harus enggak boleh vaksin,0.0,1.0
13,soalnya saya mau vaksin mandiri saja takut pakek sinovac kalau mau ke ln juga moderna dan pfier gampang,soal saya mau vaksin mandiri saja takut pakai sinovac kalau mau ke ln juga moderna dan pfier gampang,1.0,1.0
14,pada bilang abis vaksin demam ya gue jadi ingat pas abis suntik keloid allahuakbar sakit banget trus setelah suntik keringat dingin dok saya sampai keringat dingin ini pasien lain ga pernah biasanya mba,pada bilang habis vaksin demam ya gue jadi ingat pas habis suntik keloid allahuakbar sakit banget terus telah suntik keringat dingin dok saya sampai keringat dingin ini pasien lain enggak pernah biasa mbak,0.0,0.0
15,iya udah vaksin aja mumpung ada daerahku aja susah bgt nyari tempat vaksin abis mulu,iya sudah vaksin saja mumpung ada daerah saja susah banget cari tempat vaksin habis mulu,0.0,1.0
17,mencari nafkah untuk seswab antigen segenggam vaksin,cari nafkah untuk seswab antigen genggam vaksin,1.0,1.0
18,daripada bikin kerumunan dalam satu tempatmending vaksin nya door to door sajalebih efektif,daripada bikin kerumun dalam satu tempatmending vaksin nya door tapi door sajalebih efektif,1.0,1.0
20,gini amat nyari vaksin di malang hoaks pol semua sistem langsung daftar di tempat tapi tiap didatengin habis mau berangkat subuh pun habis,begini amat cari vaksin di malang hoaks pol semua sistem langsung daftar di tempat tapi tiap datang habis mau berangkat subuh pun habis,0.0,0.0
21,kalau aja ada jaminan abis vaksin ga bakal kena covid lagi semua orang pasti rebutan mau divaksin,kalau saja ada jamin habis vaksin enggak bakal kena covid lagi semua orang pasti rebut mau vaksin,1.0,1.0
22,gua udh beres vaksinasi lolos alhamdulillah hihiw wenak polll abis di vaksin tuh,gua sudah beres vaksinasi lolos alhamdulillah hihiw enak pol habis di vaksin tuh,0.0,1.0
23,jangan berkerumun kecuali antri vaksin,jangan kerumun kecuali antri vaksin,0.0,0.0
24,masih kepikiran temen yg nolak banget d vaksin dia bilang ngapain di vaksin yg udh d vaksin paeh paeh mati juga gue jelasin sudh vaksin bukan berarti ga akan kena yah,masih pikir teman yang nolak banget di vaksin dia bilang kapai di vaksin yang sudah di vaksin paeh paeh mati juga gue jelasin sudah vaksin bukan arti enggak akan kena ya,1.0,1.0
